"year";"mean_temp";"resid_temp";"site"
"P800044PCAB_clim.7";1967;15.0648876825969;0.340339446067823;"P800044PCAB"
"P800044PCAB_clim.8";1968;14.4464050928752;-0.27814314365388;"P800044PCAB"
"P800044PCAB_clim.9";1969;14.5237017472585;-0.200846489270543;"P800044PCAB"
"P800044PCAB_clim.10";1970;13.6677626768748;-1.05678555965423;"P800044PCAB"
"P800044PCAB_clim.11";1971;14.4222141901652;-0.302334046363832;"P800044PCAB"
"P800044PCAB_clim.12";1972;13.5733748277028;-1.15117340882619;"P800044PCAB"
"P800044PCAB_clim.13";1973;14.1364323298136;-0.588115906715389;"P800044PCAB"
"P800044PCAB_clim.14";1974;13.6657556692759;-1.0587925672531;"P800044PCAB"
"P800044PCAB_clim.15";1975;14.7267750104268;0.00222677389779591;"P800044PCAB"
"P800044PCAB_clim.16";1976;13.9431964556376;-0.781351780891406;"P800044PCAB"
"P800044PCAB_clim.17";1977;13.3819484710693;-1.34259976545969;"P800044PCAB"
"P800044PCAB_clim.18";1978;12.6380968093872;-2.08645142714184;"P800044PCAB"
"P800044PCAB_clim.19";1979;13.8961855570475;-0.828362679481494;"P800044PCAB"
"P800044PCAB_clim.20";1980;12.6047733624776;-2.11977487405139;"P800044PCAB"
"P800044PCAB_clim.21";1981;14.2747938632965;-0.449754373232535;"P800044PCAB"
"P800044PCAB_clim.22";1982;14.8495788574219;0.125030620892842;"P800044PCAB"
"P800044PCAB_clim.23";1983;15.6775132815043;0.952965044975281;"P800044PCAB"
"P800044PCAB_clim.24";1984;13.3487471739451;-1.3758010625839;"P800044PCAB"
"P800044PCAB_clim.25";1985;13.884173711141;-0.840374525388077;"P800044PCAB"
"P800044PCAB_clim.26";1986;14.5127422014872;-0.211806035041835;"P800044PCAB"
"P800044PCAB_clim.27";1987;14.0201601982117;-0.704388038317363;"P800044PCAB"
"P800044PCAB_clim.28";1988;14.7025577227275;-0.021990513801569;"P800044PCAB"
"P800044PCAB_clim.29";1989;14.5892949104309;-0.135253326098111;"P800044PCAB"
"P800044PCAB_clim.30";1990;14.052796125412;-0.671752111117028;"P800044PCAB"
"P800044PCAB_clim.31";1991;13.9834977785746;-0.741050457954405;"P800044PCAB"
"P800044PCAB_clim.32";1992;15.9554060300191;1.23085779349007;"P800044PCAB"
"P800044PCAB_clim.33";1993;14.8932186762492;0.168670439720149;"P800044PCAB"
"P800044PCAB_clim.34";1994;15.8539420763652;1.12939383983613;"P800044PCAB"
"P800044PCAB_clim.35";1995;14.7355613708496;0.0110131343206028;"P800044PCAB"
"P800044PCAB_clim.36";1996;14.0384192466736;-0.686128989855451;"P800044PCAB"
"P800044PCAB_clim.37";1997;14.2795379161835;-0.445010320345554;"P800044PCAB"
"P800044PCAB_clim.38";1998;15.3946445782979;0.670096341768899;"P800044PCAB"
