"year";"min_bal";"mean_bal";"site"
"P800040PISY_clim.27";1987;-86.6576508880524;-27.5416828882666;"P800040PISY"
"P800040PISY_clim.28";1988;-86.8326796816536;-43.0182381346016;"P800040PISY"
"P800040PISY_clim.29";1989;-68.505846530923;-37.0764888858956;"P800040PISY"
"P800040PISY_clim.30";1990;-106.816076364556;-36.8404412110372;"P800040PISY"
"P800040PISY_clim.31";1991;-65.9836498029785;-36.1405184010627;"P800040PISY"
"P800040PISY_clim.32";1992;-127.914962354311;-65.8787060984798;"P800040PISY"
"P800040PISY_clim.33";1993;-68.5383344829;-47.424877516221;"P800040PISY"
"P800040PISY_clim.34";1994;-122.695086737658;-42.2990120669183;"P800040PISY"
"P800040PISY_clim.35";1995;-78.1793721564433;-27.1711450573462;"P800040PISY"
"P800040PISY_clim.36";1996;-82.5093612345937;-23.4018522163023;"P800040PISY"
"P800040PISY_clim.37";1997;-96.8490124689737;-26.7931477844195;"P800040PISY"
"P800040PISY_clim.38";1998;-71.6312738930886;-27.6060844221802;"P800040PISY"
"P800040PISY_clim.39";1999;-81.1296886109359;-45.0462036400321;"P800040PISY"
"P800040PISY_clim.40";2000;-85.7020716425772;-52.83518390183;"P800040PISY"
"P800040PISY_clim.41";2001;-89.8005342771269;-30.7913872520978;"P800040PISY"
"P800040PISY_clim.42";2002;-73.3424343668082;-45.1950085232302;"P800040PISY"
"P800040PISY_clim.43";2003;-105.509512361471;-61.0479681923352;"P800040PISY"
"P800040PISY_clim.44";2004;-94.919768255824;-46.5206383927475;"P800040PISY"
"P800040PISY_clim.45";2005;-60.5462263234898;-21.7941709737384;"P800040PISY"
"P800040PISY_clim.46";2006;-146.602500812592;-37.7254535992689;"P800040PISY"
"P800040PISY_clim.47";2007;-73.8078216406226;-31.5552245948842;"P800040PISY"
"P800040PISY_clim.48";2008;-65.3636311952882;-42.5767161040893;"P800040PISY"
"P800040PISY_clim.49";2009;-76.7621190091153;-48.4044507801783;"P800040PISY"
"P800040PISY_clim.50";2010;-44.2598977904442;-5.96717889517441;"P800040PISY"
"P800040PISY_clim.51";2011;-91.1698408263637;-41.0353868681882;"P800040PISY"
"P800040PISY_clim.52";2012;-107.366729295052;-46.3180923591302;"P800040PISY"
"P800040PISY_clim.53";2013;-129.02581504303;-30.0582635990802;"P800040PISY"
"P800040PISY_clim.54";2014;-78.9112566554894;-29.6144251390495;"P800040PISY"
"P800040PISY_clim.55";2015;-111.870616413313;-59.2298449870878;"P800040PISY"
"P800040PISY_clim.56";2016;-83.2516564976328;-46.0427200574706;"P800040PISY"
"P800040PISY_clim.57";2017;-99.9516820680749;-50.9313768320475;"P800040PISY"
"P800040PISY_clim.58";2018;-110.19294175621;-58.2654106501014;"P800040PISY"
"P800040PISY_clim.59";2019;-108.565543041103;-45.0852041253808;"P800040PISY"
"P800040PISY_clim.60";2020;-77.7977955748358;-27.8485322114706;"P800040PISY"
"P800044PCAB_clim.1";1961;-57.3196427321459;-27.0101155381;"P800044PCAB"
"P800044PCAB_clim.2";1962;-78.3510309963013;-23.8469854462277;"P800044PCAB"
"P800044PCAB_clim.3";1963;-114.869244325713;-13.4739222017083;"P800044PCAB"
"P800044PCAB_clim.4";1964;-65.7721646726105;-34.6452647133623;"P800044PCAB"
"P800044PCAB_clim.5";1965;-30.4418734819548;10.9260689952107;"P800044PCAB"
"P800044PCAB_clim.6";1966;-35.8118012871547;-5.48921377677464;"P800044PCAB"
"P800044PCAB_clim.7";1967;-78.3299401877017;-32.7409609470146;"P800044PCAB"
"P800044PCAB_clim.8";1968;-18.7963251093475;1.52246865927638;"P800044PCAB"
"P800044PCAB_clim.9";1969;-88.2737748013204;-27.0633269308876;"P800044PCAB"
"P800044PCAB_clim.10";1970;-56.4224693645219;-12.2068382771201;"P800044PCAB"
"P800044PCAB_clim.11";1971;-81.805321935534;-35.9597502708183;"P800044PCAB"
"P800044PCAB_clim.12";1972;-64.7188661902765;-17.1550775667743;"P800044PCAB"
"P800044PCAB_clim.13";1973;-75.9393253058929;-38.1887672046855;"P800044PCAB"
"P800044PCAB_clim.14";1974;-87.164544006465;-24.1321779539095;"P800044PCAB"
"P800044PCAB_clim.15";1975;-74.0764966540131;-38.3698764865142;"P800044PCAB"
"P800044PCAB_clim.16";1976;-86.0232161910841;-42.1617290509202;"P800044PCAB"
"P800044PCAB_clim.17";1977;-60.4517446824889;-13.7297396237203;"P800044PCAB"
"P800044PCAB_clim.18";1978;-54.8551568166551;-25.606263091589;"P800044PCAB"
"P800044PCAB_clim.19";1979;-57.3249496926818;-17.5093920312611;"P800044PCAB"
"P800044PCAB_clim.20";1980;-43.6503922876332;-18.1794480976521;"P800044PCAB"
"P800044PCAB_clim.21";1981;-73.1672762334708;-22.4761394689994;"P800044PCAB"
"P800044PCAB_clim.22";1982;-68.1861494231944;-43.2072007137033;"P800044PCAB"
"P800044PCAB_clim.23";1983;-112.907002597858;-43.7982608203487;"P800044PCAB"
"P800044PCAB_clim.24";1984;-64.8278424811822;-24.1437883746089;"P800044PCAB"
"P800044PCAB_clim.25";1985;-47.6609974806795;-11.3402943694031;"P800044PCAB"
"P800044PCAB_clim.26";1986;-60.8012206340064;-27.4179788188856;"P800044PCAB"
"P800044PCAB_clim.27";1987;-68.2879389841773;-16.067287137653;"P800044PCAB"
"P800044PCAB_clim.28";1988;-73.8597353227638;-32.9105649104438;"P800044PCAB"
"P800044PCAB_clim.29";1989;-86.3033079656763;-35.3753647470694;"P800044PCAB"
"P800044PCAB_clim.30";1990;-99.2067817537756;-18.8989516735386;"P800044PCAB"
"P800044PCAB_clim.31";1991;-60.183814246447;-23.5135608775907;"P800044PCAB"
"P800044PCAB_clim.32";1992;-121.825185066278;-56.7287797457003;"P800044PCAB"
"P800044PCAB_clim.33";1993;-66.6782384237998;-41.8290644589218;"P800044PCAB"
"P800044PCAB_clim.34";1994;-106.042627636483;-27.3836444171313;"P800044PCAB"
"P800044PCAB_clim.35";1995;-92.9921235441377;-15.2447739872806;"P800044PCAB"
"P800044PCAB_clim.36";1996;-67.6088766867346;-20.4121300233267;"P800044PCAB"
"P800044PCAB_clim.37";1997;-80.9466611961899;2.65872228348001;"P800044PCAB"
"P800044PCAB_clim.38";1998;-60.9960334409065;-16.9392858708752;"P800044PCAB"
"P800044PCAB_clim.39";1999;-82.6162512682825;-36.1046200234451;"P800044PCAB"
"P800044PCAB_clim.40";2000;-72.2451241693809;-41.4805979899572;"P800044PCAB"
"P800044PCAB_clim.41";2001;-82.6890211979758;-13.8156560709966;"P800044PCAB"
"P800044PCAB_clim.42";2002;-76.8678924521237;-43.8535869300215;"P800044PCAB"
"P800044PCAB_clim.43";2003;-104.382095056511;-51.4347417994729;"P800044PCAB"
"P800044PCAB_clim.44";2004;-85.7790757803168;-38.9011830827394;"P800044PCAB"
"P800044PCAB_clim.45";2005;-50.2966304457879;-18.4755735509968;"P800044PCAB"
"P800044PCAB_clim.46";2006;-129.657874014727;-20.9469005042269;"P800044PCAB"
"P800044PCAB_clim.47";2007;-57.8164860582229;-21.9708516407524;"P800044PCAB"
"P800044PCAB_clim.48";2008;-84.9897691174607;-37.4903755261947;"P800044PCAB"
"P800044PCAB_clim.49";2009;-81.0634662904635;-32.4332451062305;"P800044PCAB"
"P800044PCAB_clim.50";2010;-20.877342503629;15.986165245195;"P800044PCAB"
"P800044PCAB_clim.51";2011;-80.9323224196966;-39.5481884793212;"P800044PCAB"
"P800044PCAB_clim.52";2012;-83.5311773400228;-34.3502350825368;"P800044PCAB"
"P800044PCAB_clim.53";2013;-123.656961153352;-18.9015137133519;"P800044PCAB"
"P800044PCAB_clim.54";2014;-70.7960267170925;0.444049524249556;"P800044PCAB"
"P800044PCAB_clim.55";2015;-91.88825537608;-48.4776839834425;"P800044PCAB"
"P800044PCAB_clim.56";2016;-63.2934475946305;-40.7377294086935;"P800044PCAB"
"P800044PCAB_clim.57";2017;-107.405593802776;-38.5020604613676;"P800044PCAB"
"P800044PCAB_clim.58";2018;-108.35737215227;-59.3089846925451;"P800044PCAB"
"P800044PCAB_clim.59";2019;-72.8317437670536;-25.4997244464072;"P800044PCAB"
"P800044PCAB_clim.60";2020;-66.2557501941717;-8.64067930106117;"P800044PCAB"
"P800046ABAL_clim.1";1961;-62.7932210267186;-7.4124674383123;"P800046ABAL"
"P800046ABAL_clim.2";1962;-63.2001346934261;4.99613325802444;"P800046ABAL"
"P800046ABAL_clim.3";1963;-89.1230481206726;-12.5576547333692;"P800046ABAL"
"P800046ABAL_clim.4";1964;-37.4972317860648;-27.6718772188192;"P800046ABAL"
"P800046ABAL_clim.5";1965;-25.7569193421836;33.2259959889033;"P800046ABAL"
"P800046ABAL_clim.6";1966;-35.2355578618178;25.6330586539432;"P800046ABAL"
"P800046ABAL_clim.7";1967;-53.4619740113543;-12.2349497773514;"P800046ABAL"
"P800046ABAL_clim.8";1968;-30.0806904434045;13.1362700125273;"P800046ABAL"
"P800046ABAL_clim.9";1969;-52.4628502263953;-20.2065695783855;"P800046ABAL"
"P800046ABAL_clim.10";1970;-32.3110681571843;3.87776806387498;"P800046ABAL"
"P800046ABAL_clim.11";1971;-81.6264561031268;-20.0681096729597;"P800046ABAL"
"P800046ABAL_clim.12";1972;13.1210013553295;45.26130703514;"P800046ABAL"
