"site_code","tree_id","tree_core_id","year","value","detrend_value"
"P810405ABAL",1,"0101a",1985,"48.0","51.0"
"P810405ABAL",1,"0101a",1986,"70.0","74.0"
"P810405ABAL",1,"0101a",1987,"73.0","77.0"
"P810405ABAL",1,"0101a",1988,"76.0","79.0"
"P810405ABAL",1,"0101a",1989,"62.0","64.0"
"P810405ABAL",1,"0101a",1990,"57.0","58.0"
"P810405ABAL",1,"0101a",1991,"90.0","91.0"
"P810405ABAL",1,"0101a",1992,"106.0","105.0"
"P810405ABAL",1,"0101a",1993,"70.0","69.0"
"P810405ABAL",1,"0101a",1994,"92.0","89.0"
"P810405ABAL",1,"0101a",1995,"110.0","105.0"
"P810405ABAL",1,"0101a",1996,"119.0","113.0"
"P810405ABAL",1,"0101a",1997,"206.0","192.0"
"P810405ABAL",1,"0101a",1998,"202.0","186.0"
"P810405ABAL",1,"0101a",1999,"246.0","224.0"
"P810405ABAL",1,"0101a",2000,"133.0","120.0"
"P810405ABAL",1,"0101a",2001,"203.0","181.0"
"P810405ABAL",1,"0101a",2002,"222.0","195.0"
"P810405ABAL",1,"0101a",2003,"131.0","114.0"
"P810405ABAL",1,"0101a",2004,"154.0","133.0"
"P810405ABAL",1,"0101a",2005,"173.0","147.0"
"P810405ABAL",1,"0101a",2006,"122.0","103.0"
"P810405ABAL",1,"0101a",2007,"93.0","78.0"
"P810405ABAL",1,"0101a",2008,"147.0","122.0"
"P810405ABAL",1,"0101a",2009,"142.0","116.0"
"P810405ABAL",1,"0101a",2010,"165.0","134.0"
"P810405ABAL",1,"0101a",2011,"141.0","113.0"
"P810405ABAL",1,"0101a",2012,"157.0","125.0"
"P810405ABAL",1,"0101a",2013,"102.0","81.0"
"P810405ABAL",1,"0101a",2014,"112.0","88.0"
"P810405ABAL",1,"0101a",2015,"89.0","69.0"
"P810405ABAL",1,"0101a",2016,"151.0","116.0"
"P810405ABAL",1,"0101a",2017,"81.0","62.0"
"P810405ABAL",1,"0101a",2018,"118.0","89.0"
"P810405ABAL",1,"0101a",2019,"80.0","60.0"
"P810405ABAL",1,"0101b",1831,"NULL","NULL"
"P810405ABAL",1,"0101b",1832,"NULL","NULL"
"P810405ABAL",1,"0101b",1833,"NULL","NULL"
"P810405ABAL",1,"0101b",1834,"NULL","NULL"
"P810405ABAL",1,"0101b",1835,"NULL","NULL"
"P810405ABAL",1,"0101b",1836,"NULL","NULL"
"P810405ABAL",1,"0101b",1837,"NULL","NULL"
"P810405ABAL",1,"0101b",1838,"NULL","NULL"
"P810405ABAL",1,"0101b",1839,"NULL","NULL"
"P810405ABAL",1,"0101b",1840,"NULL","NULL"
"P810405ABAL",1,"0101b",1841,"NULL","NULL"
"P810405ABAL",1,"0101b",1842,"NULL","NULL"
"P810405ABAL",1,"0101b",1843,"NULL","NULL"
"P810405ABAL",1,"0101b",1844,"NULL","NULL"
"P810405ABAL",1,"0101b",1845,"NULL","NULL"
"P810405ABAL",1,"0101b",1846,"NULL","NULL"
"P810405ABAL",1,"0101b",1847,"NULL","NULL"
"P810405ABAL",1,"0101b",1848,"NULL","NULL"
"P810405ABAL",1,"0101b",1849,"NULL","NULL"
"P810405ABAL",1,"0101b",1850,"NULL","NULL"
"P810405ABAL",1,"0101b",1851,"NULL","NULL"
"P810405ABAL",1,"0101b",1852,"NULL","NULL"
"P810405ABAL",1,"0101b",1853,"NULL","NULL"
"P810405ABAL",1,"0101b",1854,"NULL","NULL"
"P810405ABAL",1,"0101b",1855,"NULL","NULL"
"P810405ABAL",1,"0101b",1856,"NULL","NULL"
"P810405ABAL",1,"0101b",1857,"NULL","NULL"
"P810405ABAL",1,"0101b",1858,"NULL","NULL"
"P810405ABAL",1,"0101b",1859,"NULL","NULL"
"P810405ABAL",1,"0101b",1860,"NULL","NULL"
"P810405ABAL",1,"0101b",1861,"NULL","NULL"
"P810405ABAL",1,"0101b",1862,"NULL","NULL"
"P810405ABAL",1,"0101b",1863,"NULL","NULL"
"P810405ABAL",1,"0101b",1864,"NULL","NULL"
"P810405ABAL",1,"0101b",1865,"NULL","NULL"
"P810405ABAL",1,"0101b",1866,"NULL","NULL"
"P810405ABAL",1,"0101b",1867,"NULL","NULL"
"P810405ABAL",1,"0101b",1868,"NULL","NULL"
"P810405ABAL",1,"0101b",1869,"NULL","NULL"
"P810405ABAL",1,"0101b",1870,"NULL","NULL"
"P810405ABAL",1,"0101b",1871,"NULL","NULL"
"P810405ABAL",1,"0101b",1872,"77.0","114.0"
"P810405ABAL",1,"0101b",1873,"87.0","124.0"
"P810405ABAL",1,"0101b",1874,"56.0","76.0"
"P810405ABAL",1,"0101b",1875,"40.0","52.0"
"P810405ABAL",1,"0101b",1876,"18.0","23.0"
"P810405ABAL",1,"0101b",1877,"26.0","32.0"
"P810405ABAL",1,"0101b",1878,"24.0","28.0"
"P810405ABAL",1,"0101b",1879,"28.0","32.0"
"P810405ABAL",1,"0101b",1880,"94.0","103.0"
"P810405ABAL",1,"0101b",1881,"93.0","99.0"
"P810405ABAL",1,"0101b",1882,"162.0","167.0"
"P810405ABAL",1,"0101b",1883,"163.0","163.0"
"P810405ABAL",1,"0101b",1884,"160.0","156.0"
"P810405ABAL",1,"0101b",1885,"150.0","142.0"
"P810405ABAL",1,"0101b",1886,"123.0","114.0"
"P810405ABAL",1,"0101b",1887,"89.0","80.0"
"P810405ABAL",1,"0101b",1888,"84.0","74.0"
"P810405ABAL",1,"0101b",1889,"54.0","46.0"
"P810405ABAL",1,"0101b",1890,"79.0","66.0"
"P810405ABAL",1,"0101b",1891,"44.0","36.0"
"P810405ABAL",1,"0101b",1892,"95.0","76.0"
"P810405ABAL",1,"0101b",1893,"162.0","127.0"
"P810405ABAL",1,"0101b",1894,"182.0","140.0"
"P810405ABAL",1,"0101b",1895,"181.0","137.0"
"P810405ABAL",1,"0101b",1896,"99.0","74.0"
"P810405ABAL",1,"0101b",1897,"127.0","93.0"
"P810405ABAL",1,"0101b",1898,"143.0","103.0"
"P810405ABAL",1,"0101b",1899,"103.0","73.0"
"P810405ABAL",1,"0101b",1900,"92.0","64.0"
"P810405ABAL",1,"0101b",1901,"104.0","71.0"
"P810405ABAL",1,"0101b",1902,"171.0","115.0"
"P810405ABAL",1,"0101b",1903,"134.0","89.0"
"P810405ABAL",1,"0101b",1904,"117.0","77.0"
"P810405ABAL",1,"0101b",1905,"123.0","80.0"
"P810405ABAL",1,"0101b",1906,"145.0","93.0"
"P810405ABAL",1,"0101b",1907,"107.0","68.0"
"P810405ABAL",1,"0101b",1908,"98.0","62.0"
"P810405ABAL",1,"0101b",1909,"96.0","60.0"
"P810405ABAL",1,"0101b",1910,"145.0","90.0"
"P810405ABAL",1,"0101b",1911,"138.0","85.0"
"P810405ABAL",1,"0101b",1912,"242.0","148.0"
"P810405ABAL",1,"0101b",1913,"248.0","150.0"
"P810405ABAL",1,"0101b",1914,"364.0","220.0"
"P810405ABAL",1,"0101b",1915,"212.0","127.0"
"P810405ABAL",1,"0101b",1916,"323.0","194.0"
"P810405ABAL",1,"0101b",1917,"235.0","141.0"
"P810405ABAL",1,"0101b",1918,"219.0","131.0"
"P810405ABAL",1,"0101b",1919,"289.0","173.0"
"P810405ABAL",1,"0101b",1920,"206.0","123.0"
"P810405ABAL",1,"0101b",1921,"204.0","123.0"
"P810405ABAL",1,"0101b",1922,"126.0","76.0"
"P810405ABAL",1,"0101b",1923,"157.0","95.0"
"P810405ABAL",1,"0101b",1924,"168.0","102.0"
"P810405ABAL",1,"0101b",1925,"246.0","151.0"
"P810405ABAL",1,"0101b",1926,"233.0","144.0"
"P810405ABAL",1,"0101b",1927,"260.0","162.0"
"P810405ABAL",1,"0101b",1928,"182.0","114.0"
"P810405ABAL",1,"0101b",1929,"120.0","76.0"
"P810405ABAL",1,"0101b",1930,"167.0","107.0"
"P810405ABAL",1,"0101b",1931,"140.0","91.0"
"P810405ABAL",1,"0101b",1932,"213.0","140.0"
"P810405ABAL",1,"0101b",1933,"167.0","111.0"
"P810405ABAL",1,"0101b",1934,"143.0","96.0"
"P810405ABAL",1,"0101b",1935,"123.0","84.0"
"P810405ABAL",1,"0101b",1936,"187.0","130.0"
"P810405ABAL",1,"0101b",1937,"141.0","99.0"
"P810405ABAL",1,"0101b",1938,"122.0","87.0"
"P810405ABAL",1,"0101b",1939,"132.0","96.0"
"P810405ABAL",1,"0101b",1940,"110.0","82.0"
"P810405ABAL",1,"0101b",1941,"135.0","102.0"
"P810405ABAL",1,"0101b",1942,"97.0","75.0"
"P810405ABAL",1,"0101b",1943,"76.0","60.0"
"P810405ABAL",1,"0101b",1944,"73.0","58.0"
"P810405ABAL",1,"0101b",1945,"97.0","79.0"
"P810405ABAL",1,"0101b",1946,"100.0","83.0"
"P810405ABAL",1,"0101b",1947,"62.0","53.0"
"P810405ABAL",1,"0101b",1948,"41.0","36.0"
"P810405ABAL",1,"0101b",1949,"100.0","89.0"
"P810405ABAL",1,"0101b",1950,"70.0","64.0"
"P810405ABAL",1,"0101b",1951,"119.0","110.0"
"P810405ABAL",1,"0101b",1952,"122.0","116.0"
"P810405ABAL",1,"0101b",1953,"176.0","170.0"
"P810405ABAL",1,"0101b",1954,"146.0","144.0"
"P810405ABAL",1,"0101b",1955,"209.0","211.0"
"P810405ABAL",1,"0101b",1956,"87.0","90.0"
"P810405ABAL",1,"0101b",1957,"122.0","129.0"
"P810405ABAL",1,"0101b",1958,"116.0","125.0"
"P810405ABAL",1,"0101b",1959,"121.0","133.0"
"P810405ABAL",1,"0101b",1960,"56.0","63.0"
"P810405ABAL",1,"0101b",1961,"81.0","93.0"
"P810405ABAL",1,"0101b",1962,"54.0","63.0"
"P810405ABAL",1,"0101b",1963,"75.0","90.0"
"P810405ABAL",1,"0101b",1964,"57.0","69.0"
"P810405ABAL",1,"0101b",1965,"49.0","61.0"
"P810405ABAL",1,"0101b",1966,"44.0","55.0"
"P810405ABAL",1,"0101b",1967,"54.0","69.0"
"P810405ABAL",1,"0101b",1968,"60.0","78.0"
"P810405ABAL",1,"0101b",1969,"67.0","88.0"
"P810405ABAL",1,"0101b",1970,"70.0","93.0"
"P810405ABAL",1,"0101b",1971,"65.0","87.0"
"P810405ABAL",1,"0101b",1972,"44.0","59.0"
"P810405ABAL",1,"0101b",1973,"38.0","51.0"
"P810405ABAL",1,"0101b",1974,"27.0","36.0"
"P810405ABAL",1,"0101b",1975,"22.0","30.0"
"P810405ABAL",1,"0101b",1976,"20.0","27.0"
"P810405ABAL",1,"0101b",1977,"0.0","0.0"
"P810405ABAL",1,"0101b",1978,"0.0","0.0"
"P810405ABAL",1,"0101b",1979,"26.0","35.0"
"P810405ABAL",1,"0101b",1980,"39.0","51.0"
"P810405ABAL",1,"0101b",1981,"46.0","60.0"
"P810405ABAL",1,"0101b",1982,"42.0","54.0"
"P810405ABAL",1,"0101b",1983,"55.0","70.0"
"P810405ABAL",1,"0101b",1984,"36.0","45.0"
"P810405ABAL",1,"0101b",1985,"32.0","39.0"
"P810405ABAL",1,"0101b",1986,"38.0","46.0"
"P810405ABAL",1,"0101b",1987,"40.0","47.0"
"P810405ABAL",1,"0101b",1988,"33.0","38.0"
"P810405ABAL",1,"0101b",1989,"38.0","43.0"
"P810405ABAL",1,"0101b",1990,"46.0","51.0"
"P810405ABAL",1,"0101b",1991,"70.0","75.0"
"P810405ABAL",1,"0101b",1992,"99.0","104.0"
"P810405ABAL",1,"0101b",1993,"69.0","71.0"
"P810405ABAL",1,"0101b",1994,"95.0","96.0"
"P810405ABAL",1,"0101b",1995,"138.0","136.0"
"P810405ABAL",1,"0101b",1996,"129.0","124.0"
"P810405ABAL",1,"0101b",1997,"214.0","201.0"
"P810405ABAL",1,"0101b",1998,"206.0","189.0"
"P810405ABAL",1,"0101b",1999,"288.0","259.0"
"P810405ABAL",1,"0101b",2000,"192.0","169.0"
"P810405ABAL",1,"0101b",2001,"194.0","167.0"
"P810405ABAL",1,"0101b",2002,"171.0","145.0"
"P810405ABAL",1,"0101b",2003,"118.0","98.0"
"P810405ABAL",1,"0101b",2004,"138.0","112.0"
"P810405ABAL",1,"0101b",2005,"173.0","138.0"
"P810405ABAL",1,"0101b",2006,"127.0","100.0"
"P810405ABAL",1,"0101b",2007,"116.0","89.0"
"P810405ABAL",1,"0101b",2008,"154.0","117.0"
"P810405ABAL",1,"0101b",2009,"151.0","113.0"
"P810405ABAL",1,"0101b",2010,"173.0","127.0"
"P810405ABAL",1,"0101b",2011,"154.0","111.0"
"P810405ABAL",1,"0101b",2012,"160.0","114.0"
"P810405ABAL",1,"0101b",2013,"133.0","93.0"
"P810405ABAL",1,"0101b",2014,"171.0","118.0"
"P810405ABAL",1,"0101b",2015,"162.0","110.0"
"P810405ABAL",1,"0101b",2016,"169.0","113.0"
"P810405ABAL",1,"0101b",2017,"96.0","63.0"
"P810405ABAL",1,"0101b",2018,"116.0","76.0"
"P810405ABAL",1,"0101b",2019,"89.0","57.0"
"P810405ABAL",2,"0108a",1831,"NULL","NULL"
"P810405ABAL",2,"0108a",1832,"NULL","NULL"
"P810405ABAL",2,"0108a",1833,"NULL","NULL"
"P810405ABAL",2,"0108a",1834,"NULL","NULL"
"P810405ABAL",2,"0108a",1835,"NULL","NULL"
"P810405ABAL",2,"0108a",1836,"NULL","NULL"
"P810405ABAL",2,"0108a",1837,"NULL","NULL"
"P810405ABAL",2,"0108a",1838,"NULL","NULL"
"P810405ABAL",2,"0108a",1839,"NULL","NULL"
"P810405ABAL",2,"0108a",1840,"NULL","NULL"
"P810405ABAL",2,"0108a",1841,"NULL","NULL"
"P810405ABAL",2,"0108a",1842,"NULL","NULL"
"P810405ABAL",2,"0108a",1843,"NULL","NULL"
"P810405ABAL",2,"0108a",1844,"NULL","NULL"
"P810405ABAL",2,"0108a",1845,"NULL","NULL"
"P810405ABAL",2,"0108a",1846,"NULL","NULL"
"P810405ABAL",2,"0108a",1847,"NULL","NULL"
"P810405ABAL",2,"0108a",1848,"NULL","NULL"
"P810405ABAL",2,"0108a",1849,"NULL","NULL"
"P810405ABAL",2,"0108a",1850,"NULL","NULL"
"P810405ABAL",2,"0108a",1851,"NULL","NULL"
"P810405ABAL",2,"0108a",1852,"NULL","NULL"
"P810405ABAL",2,"0108a",1853,"NULL","NULL"
"P810405ABAL",2,"0108a",1854,"NULL","NULL"
"P810405ABAL",2,"0108a",1855,"NULL","NULL"
"P810405ABAL",2,"0108a",1856,"NULL","NULL"
"P810405ABAL",2,"0108a",1857,"NULL","NULL"
"P810405ABAL",2,"0108a",1858,"NULL","NULL"
"P810405ABAL",2,"0108a",1859,"NULL","NULL"
"P810405ABAL",2,"0108a",1860,"NULL","NULL"
"P810405ABAL",2,"0108a",1861,"NULL","NULL"
"P810405ABAL",2,"0108a",1862,"NULL","NULL"
"P810405ABAL",2,"0108a",1863,"NULL","NULL"
"P810405ABAL",2,"0108a",1864,"NULL","NULL"
"P810405ABAL",2,"0108a",1865,"NULL","NULL"
"P810405ABAL",2,"0108a",1866,"NULL","NULL"
"P810405ABAL",2,"0108a",1867,"NULL","NULL"
"P810405ABAL",2,"0108a",1868,"NULL","NULL"
"P810405ABAL",2,"0108a",1869,"NULL","NULL"
"P810405ABAL",2,"0108a",1870,"NULL","NULL"
"P810405ABAL",2,"0108a",1871,"NULL","NULL"
"P810405ABAL",2,"0108a",1872,"NULL","NULL"
"P810405ABAL",2,"0108a",1873,"NULL","NULL"
"P810405ABAL",2,"0108a",1874,"NULL","NULL"
"P810405ABAL",2,"0108a",1875,"NULL","NULL"
"P810405ABAL",2,"0108a",1876,"NULL","NULL"
"P810405ABAL",2,"0108a",1877,"NULL","NULL"
"P810405ABAL",2,"0108a",1878,"NULL","NULL"
"P810405ABAL",2,"0108a",1879,"NULL","NULL"
"P810405ABAL",2,"0108a",1880,"NULL","NULL"
"P810405ABAL",2,"0108a",1881,"NULL","NULL"
"P810405ABAL",2,"0108a",1882,"NULL","NULL"
"P810405ABAL",2,"0108a",1883,"NULL","NULL"
"P810405ABAL",2,"0108a",1884,"NULL","NULL"
"P810405ABAL",2,"0108a",1885,"NULL","NULL"
"P810405ABAL",2,"0108a",1886,"NULL","NULL"
"P810405ABAL",2,"0108a",1887,"NULL","NULL"
"P810405ABAL",2,"0108a",1888,"NULL","NULL"
"P810405ABAL",2,"0108a",1889,"NULL","NULL"
"P810405ABAL",2,"0108a",1890,"NULL","NULL"
"P810405ABAL",2,"0108a",1891,"NULL","NULL"
"P810405ABAL",2,"0108a",1892,"NULL","NULL"
"P810405ABAL",2,"0108a",1893,"NULL","NULL"
"P810405ABAL",2,"0108a",1894,"NULL","NULL"
"P810405ABAL",2,"0108a",1895,"NULL","NULL"
"P810405ABAL",2,"0108a",1896,"NULL","NULL"
"P810405ABAL",2,"0108a",1897,"NULL","NULL"
"P810405ABAL",2,"0108a",1898,"NULL","NULL"
"P810405ABAL",2,"0108a",1899,"NULL","NULL"
"P810405ABAL",2,"0108a",1900,"143.0","102.0"
"P810405ABAL",2,"0108a",1901,"146.0","105.0"
"P810405ABAL",2,"0108a",1902,"147.0","106.0"
"P810405ABAL",2,"0108a",1903,"77.0","56.0"
"P810405ABAL",2,"0108a",1904,"85.0","62.0"
"P810405ABAL",2,"0108a",1905,"108.0","79.0"
"P810405ABAL",2,"0108a",1906,"157.0","115.0"
"P810405ABAL",2,"0108a",1907,"132.0","97.0"
"P810405ABAL",2,"0108a",1908,"87.0","64.0"
"P810405ABAL",2,"0108a",1909,"133.0","99.0"
"P810405ABAL",2,"0108a",1910,"124.0","92.0"
"P810405ABAL",2,"0108a",1911,"162.0","121.0"
"P810405ABAL",2,"0108a",1912,"196.0","147.0"
"P810405ABAL",2,"0108a",1913,"215.0","163.0"
"P810405ABAL",2,"0108a",1914,"297.0","226.0"
"P810405ABAL",2,"0108a",1915,"92.0","70.0"
"P810405ABAL",2,"0108a",1916,"190.0","146.0"
"P810405ABAL",2,"0108a",1917,"144.0","112.0"
"P810405ABAL",2,"0108a",1918,"135.0","106.0"
"P810405ABAL",2,"0108a",1919,"154.0","121.0"
"P810405ABAL",2,"0108a",1920,"72.0","57.0"
"P810405ABAL",2,"0108a",1921,"108.0","86.0"
"P810405ABAL",2,"0108a",1922,"95.0","76.0"
"P810405ABAL",2,"0108a",1923,"118.0","96.0"
"P810405ABAL",2,"0108a",1924,"106.0","87.0"
"P810405ABAL",2,"0108a",1925,"198.0","163.0"
"P810405ABAL",2,"0108a",1926,"186.0","154.0"
"P810405ABAL",2,"0108a",1927,"194.0","162.0"
"P810405ABAL",2,"0108a",1928,"137.0","115.0"
"P810405ABAL",2,"0108a",1929,"111.0","94.0"
"P810405ABAL",2,"0108a",1930,"164.0","139.0"
"P810405ABAL",2,"0108a",1931,"91.0","78.0"
