"site_code";"species";"elevation";"coord_x";"coord_y";"management_type";"site_category";"sample_depth";"year";"max_cambial_age";"cambial_age_range";"cambial_age";"cv_TRW";"sd_RWI";"cv_RWI";"mid_TRW";"mean_temp";"resid_temp";"mean_cwb";"last5";"normal_temp";"normal_cwb";"max_age";"max_range";"median_age";"median_range";"sox";"sothf";"nox";"nh";"nsum";"pH_FH";"C.N_FH";"pH_L1";"C.N_L1";"resid_cwb";"log_cv_TRW";"log_sd_RWI";"log_cv_RWI"
"P800040PISY";"PISY";205;17.229;48.949;"Managed";"moderate";7;1961;65;3;63;0.40974246766923;0.425209113087675;0.41822983588506;1.735;15.785392443339;0.0276157365904801;-33.8942659208771;1.49785714285714;15.6820566124386;-36.9296350542243;121;3;91;3;7.75338888168335;41.4778633117676;3.22547364234924;4.71402597427368;7.93949937820435;4.952;23.6;4.753;9.8;-3.03536913334721;-0.892226444274619;-0.855174200270651;-0.871724150952666
"P800040PISY";"PISY";205;17.229;48.949;"Managed";"moderate";7;1962;66;3;64;0.30343297989839;0.371805704092694;0.36886133379939;1.66857142857143;14.4844376246134;-1.2733390821351;-24.1196623211845;1.61528571428571;15.6820566124386;-36.9296350542243;121;3;91;3;8.15593433380127;43.9893531799316;3.38773012161255;4.85748672485352;8.24521732330322;4.952;23.6;4.753;9.8;-12.8099727330398;-1.19259451692583;-0.989383861981671;-0.997334494729596
"P800040PISY";"PISY";205;17.229;48.949;"Managed";"moderate";7;1963;67;3;65;0.359003778430046;0.474575868366429;0.496709487800826;1.55071428571429;16.1758489608765;0.418072254127914;-35.4894692152421;1.66614285714286;15.6820566124386;-36.9296350542243;121;3;91;3;7.11015558242798;38.6275177001953;2.95043778419495;4.1998987197876;7.15033674240112;4.952;23.6;4.753;9.8;-1.44016583898221;-1.02442236567446;-0.745333782530186;-0.699749955378575
"P800040PISY";"PISY";205;17.229;48.949;"Managed";"moderate";7;1964;68;3;66;0.464719474122762;0.430263692271779;0.495385429978711;1.44214285714286;15.6006779670715;-0.157098739677004;-43.2218308832286;1.67571428571429;15.6820566124386;-36.9296350542243;121;3;91;3;7.26904344558716;39.651309967041;3.01250958442688;4.29961347579956;7.31212282180786;4.952;23.6;4.753;9.8;6.29219582900429;-0.766321336898685;-0.843357020406671;-0.702419172979663
"P800040PISY";"PISY";205;17.229;48.949;"Managed";"moderate";7;1965;69;3;67;0.511369298686127;0.374454705502035;0.456768292433;1.41142857142857;14.2609292666118;-1.49684744013678;3.87930009302074;1.61885714285714;15.6820566124386;-36.9296350542243;121;3;91;3;9.10079479217529;49.5307884216309;3.79248642921448;5.40944194793701;9.20192813873291;4.952;23.6;4.753;9.8;-40.8089351472451;-0.670663251782988;-0.982284429929518;-0.78357903541157
"P800040PISY";"PISY";205;17.229;48.949;"Managed";"moderate";7;1966;70;3;68;0.465810498047974;0.476065544112021;0.455724835852311;1.79785714285714;15.177681128184;-0.580095578564537;-14.3596088452709;1.56157142857143;15.6820566124386;-36.9296350542243;121;3;91;3;9.031907081604;49.2619094848633;3.73604154586792;5.39956760406494;9.1356086730957;4.952;23.6;4.753;9.8;-22.5700262089534;-0.763976384113101;-0.742199736515847;-0.785866081753439
"P800040PISY";"PISY";205;17.229;48.949;"Managed";"moderate";7;1967;71;3;69;0.42413545518422;0.399938225735296;0.431262300495701;1.58785714285714;16.0011909802755;0.243414273526938;-42.5184262150082;1.57414285714286;15.6820566124386;-36.9296350542243;121;3;91;3;6.16945838928223;33.5790061950684;2.55114579200745;3.77654027938843;6.32768583297729;4.952;23.6;4.753;9.8;5.58879116078388;-0.857702404995678;-0.91644517946233;-0.841038788154755
"P800040PISY";"PISY";205;17.229;48.949;"Managed";"moderate";7;1968;72;3;70;0.453231893952682;0.399016562124596;0.45249143343591;1.53928571428571;15.5435372988383;-0.214239407910254;-18.3308126515421;1.558;15.6820566124386;-36.9296350542243;121;3;91;3;8.04649353027344;44.0691909790039;3.33211922645569;4.76238107681274;8.09450054168701;4.952;23.6;4.753;9.8;-18.5988224026822;-0.791351377298573;-0.918752353869551;-0.79298644765471
"P800040PISY";"PISY";205;17.229;48.949;"Managed";"moderate";7;1969;73;3;71;0.45885159674923;0.434122427806132;0.532637902737943;1.35857142857143;15.5934066772461;-0.164370029502447;-43.1105436319335;1.55571428571429;15.6820566124386;-36.9296350542243;121;3;91;3;6.97547483444214;38.4949531555176;2.87061476707458;4.17456722259521;7.04518222808838;4.952;23.6;4.753;9.8;6.18090857770919;-0.779028439829457;-0.834428692942922;-0.629913442648262
"P800040PISY";"PISY";205;17.229;48.949;"Managed";"moderate";7;1970;74;3;72;0.418435178675207;0.433989069710897;0.500650893578078;1.40214285714286;14.7760623296102;-0.981714377138349;-33.8981644573357;1.539;15.6820566124386;-36.9296350542243;121;3;91;3;7.99843263626099;44.3512229919434;3.31571960449219;4.9158501625061;8.23156929016113;4.952;23.6;4.753;9.8;-3.03147059688861;-0.871233290714227;-0.834735930196813;-0.691846239994049
