"site_code";"species";"elevation";"coord_x";"coord_y";"management_type";"site_category";"sample_depth";"year";"max_cambial_age";"cambial_age_range";"cambial_age";"cv_TRW";"sd_RWI";"cv_RWI";"mid_TRW";"mean_temp";"resid_temp";"mean_cwb";"last5";"normal_temp";"normal_cwb";"max_age";"max_range";"median_age";"median_range";"sox";"sothf";"nox";"nh";"nsum";"pH_FH";"C.N_FH";"pH_L1";"C.N_L1";"resid_cwb";"log_cv_TRW";"log_sd_RWI";"log_cv_RWI"
"P800040PISY";"PISY";NA;17.229;48.949;"Managed";"moderate";7;1961;-1.68693065276058;NA;-1.68693065276058;0.40974246766923;0.425209113087675;0.41822983588506;1.66299793372039;0.122549027700544;0.122549027700568;0.2269585737258;0.878817906416134;NA;NA;NA;NA;NA;NA;0.852670262342151;0.726864368447533;0.781817519028722;0.533560022936729;0.636502545353807;NA;NA;NA;NA;-0.2269585737258;-0.892226444274619;-0.855174200270651;-0.871724150952666
"P800040PISY";"PISY";NA;17.229;48.949;"Managed";"moderate";7;1962;-1.6266831294477;NA;-1.6266831294477;0.30343297989839;0.371805704092694;0.36886133379939;1.41648491544206;-1.42029188941432;-1.42029188941429;0.957818641896474;1.42683928348201;NA;NA;NA;NA;NA;NA;1.05636501376218;0.89325008702976;1.10740252161106;0.687898427603772;0.856235395725801;NA;NA;NA;NA;-0.957818641896474;-1.19259451692583;-0.989383861981671;-0.997334494729596
"P800040PISY";"PISY";NA;17.229;48.949;"Managed";"moderate";7;1963;-1.56643560613482;NA;-1.56643560613482;0.359003778430046;0.474575868366429;0.496709487800826;0.979123108819201;0.585602996170527;0.585602996170476;0.107683108836118;1.66418187500936;NA;NA;NA;NA;NA;NA;0.527183422762782;0.53802952232655;0.229928614536463;-0.0195500084308262;0.0692968639338319;NA;NA;NA;NA;-0.107683108836118;-1.02442236567446;-0.745333782530186;-0.699749955378575
"P800040PISY";"PISY";NA;17.229;48.949;"Managed";"moderate";7;1964;-1.50618808282194;NA;-1.50618808282194;0.464719474122762;0.430263692271779;0.495385429978711;0.57622011120298;-0.0965093499363596;-0.0965093499363188;-0.470475822945283;1.70885028408895;NA;NA;NA;NA;NA;NA;0.607583346844867;0.605855562223171;0.354482329312973;0.0877254400974063;0.185579591030718;NA;NA;NA;NA;0.470475822945283;-0.766321336898685;-0.843357020406671;-0.702419172979663
"P800040PISY";"PISY";NA;17.229;48.949;"Managed";"moderate";7;1965;-1.44594055950907;NA;-1.44594055950907;0.511369298686127;0.374454705502035;0.456768292433;0.462240973719429;-1.68535708236224;-1.68535708236231;3.0513381764787;1.44350660030276;NA;NA;NA;NA;NA;NA;1.53448025561253;1.26036910126693;1.91958940039778;1.28170466543562;1.54386527753759;NA;NA;NA;NA;-3.0513381764787;-0.670663251782988;-0.982284429929518;-0.78357903541157
"P800040PISY";"PISY";NA;17.229;48.949;"Managed";"moderate";7;1966;-1.38569303619619;NA;-1.38569303619619;0.465810498047974;0.476065544112021;0.455724835852311;1.89625756391925;-0.598153850923085;-0.598153850923089;1.68759077802484;1.17616283849813;NA;NA;NA;NA;NA;NA;1.49962191848094;1.24255592364962;1.8063266969693;1.27108161715106;1.49619857869563;NA;NA;NA;NA;-1.68759077802484;-0.763976384113101;-0.742199736515847;-0.785866081753439
"P800040PISY";"PISY";NA;17.229;48.949;"Managed";"moderate";7;1967;-1.32544551288331;NA;-1.32544551288331;0.42413545518422;0.399938225735296;0.431262300495701;1.11695834484577;0.37847091510729;0.378470915107267;-0.417881323483095;1.23483179370714;NA;NA;NA;NA;NA;NA;0.051174862956186;0.203566610411538;-0.571293530167557;-0.475008843195332;-0.521978303542358;NA;NA;NA;NA;0.417881323483095;-0.857702404995678;-0.91644517946233;-0.841038788154755
"P800040PISY";"PISY";NA;17.229;48.949;"Managed";"moderate";7;1968;-1.26519798957043;NA;-1.26519798957043;0.453231893952682;0.399016562124596;0.45249143343591;0.93671226696483;-0.164274163681255;-0.164274163681276;1.39065860528053;1.15949552167738;NA;NA;NA;NA;NA;NA;1.00098613132165;0.898539325794788;0.995813304801601;0.585581564391277;0.747908656800766;NA;NA;NA;NA;-1.39065860528053;-0.791351377298573;-0.918752353869551;-0.79298644765471
"P800040PISY";"PISY";NA;17.229;48.949;"Managed";"moderate";7;1969;-1.20495046625756;NA;-1.20495046625756;0.45885159674923;0.434122427806132;0.532637902737943;0.266090830143124;-0.105132588269736;-0.105132588269748;-0.462154727645764;1.14882843891213;NA;NA;NA;NA;NA;NA;0.459032705029661;0.529247146851211;0.0697551819976608;-0.0468022209607287;-0.00628228190907423;NA;NA;NA;NA;0.462154727645764;-0.779028439829457;-0.834428692942922;-0.629913442648262
"P800040PISY";"PISY";NA;17.229;48.949;"Managed";"moderate";7;1970;-1.14470294294468;NA;-1.14470294294468;0.418435178675207;0.433989069710897;0.500650893578078;0.427782164712795;-1.07444549964395;-1.07444549964398;0.226667074986967;1.07082539619105;NA;NA;NA;NA;NA;NA;0.976666512736013;0.917223892167511;0.96290570700595;0.750687168229875;0.846425957737745;NA;NA;NA;NA;-0.226667074986967;-0.871233290714227;-0.834735930196813;-0.691846239994049
