"site_code";"species";"elevation";"coord_x";"coord_y";"management_type";"site_category";"sample_depth";"year";"max_cambial_age";"cambial_age_range";"cambial_age";"cv_TRW";"sd_RWI";"cv_RWI";"mid_TRW";"mean_temp";"resid_temp";"mean_cwb";"last5";"normal_temp";"normal_cwb";"max_age";"max_range";"median_age";"median_range";"sox";"sothf";"nox";"nh";"nsum";"pH_FH";"C.N_FH";"pH_L1";"C.N_L1";"resid_cwb";"log_cv_TRW";"log_sd_RWI";"log_cv_RWI"
"P800052QURO";"QUSP";370;16.3904883;49.26121;"Managed";"moderate";7;1961;70;12;66;0.184114628923831;0.43833947094011;0.251817635501696;2.57714285714286;14.3397086461385;-0.410809890429187;-21.7389549263664;1.69271428571429;14.6553661391052;-31.7908381371492;126;12;94;12;8.48638153076172;44.9930763244629;3.45952987670898;4.9116530418396;8.37118244171143;5.218;19.1;4.98;15.3;-10.0518832107828;-1.69219673206499;-0.824761620991673;-1.37905012208933
"P800052QURO";"QUSP";370;16.3904883;49.26121;"Managed";"moderate";7;1962;71;12;67;0.272549622310276;0.472532865703524;0.380649408295015;1.79928571428571;13.2753143310547;-1.47520420551301;-36.1538527061036;2.02;14.6553661391052;-31.7908381371492;126;12;94;12;8.59450435638428;45.8565902709961;3.50644469261169;4.86199998855591;8.36844444274902;5.218;19.1;4.98;15.3;4.36301456895439;-1.29993458123587;-0.749647977422823;-0.965876515690561
"P800052QURO";"QUSP";370;16.3904883;49.26121;"Managed";"moderate";7;1963;72;12;68;0.244353809818716;0.33525659244944;0.225135691451698;2.22142857142857;14.8437520662943;0.0932335297266444;-25.228990004001;2.116;14.6553661391052;-31.7908381371492;126;12;94;12;7.98262977600098;42.8317794799805;3.26079177856445;4.47389078140259;7.73468255996704;5.218;19.1;4.98;15.3;-6.56184813314821;-1.40913806374146;-1.09285909273497;-1.49105198543457
"P800052QURO";"QUSP";370;16.3904883;49.26121;"Managed";"moderate";7;1964;73;12;69;0.25679725069412;0.388274730773161;0.36362056422492;1.56;14.5150272051493;-0.235491331418359;-36.0644353910019;2.22128571428571;14.6553661391052;-31.7908381371492;126;12;94;12;8.22545433044434;44.2737197875977;3.35913991928101;4.61570167541504;7.97484159469604;5.218;19.1;4.98;15.3;4.2735972538527;-1.35946841324342;-0.946042120918458;-1.01164436100386
"P800052QURO";"QUSP";370;16.3904883;49.26121;"Managed";"moderate";7;1965;74;12;70;0.198013821482942;0.37597165083198;0.273103273089977;2.02714285714286;12.8468369642893;-1.90368157227834;0.0760889432779817;2.15157142857143;14.6553661391052;-31.7908381371492;126;12;94;12;9.84362411499023;52.8905906677246;4.04556274414062;5.55370712280273;9.59926986694336;5.218;19.1;4.98;15.3;-31.8669270804272;-1.61941844525449;-0.978241535158176;-1.29790526562381
"P800052QURO";"QUSP";370;16.3904883;49.26121;"Managed";"moderate";7;1966;75;12;71;0.36956160776785;0.522628095360615;0.3859084894686;2.00357142857143;13.9245052337647;-0.826013302803016;-7.94063258057159;2.037;14.6553661391052;-31.7908381371492;126;12;94;12;10.2048740386963;54.9232482910156;4.15718460083008;5.79279232025146;9.94997692108154;5.218;19.1;4.98;15.3;-23.8502055565776;-0.995437819696984;-0.648885166604717;-0.952155011539313
"P800052QURO";"QUSP";370;16.3904883;49.26121;"Managed";"moderate";7;1967;76;12;72;0.274652086896267;0.255152926528719;0.166819522860343;2.325;14.4297930399577;-0.320725496610002;-31.9018359163556;1.92228571428571;14.6553661391052;-31.7908381371492;126;12;94;12;7.93456697463989;42.6349639892578;3.22857284545898;4.62104463577271;7.84961748123169;5.218;19.1;4.98;15.3;0.110997779206397;-1.29225012083801;-1.36589220170169;-1.79084275237931
"P800052QURO";"QUSP";370;16.3904883;49.26121;"Managed";"moderate";7;1968;77;12;73;0.238064815701798;0.266443036620735;0.272917451630073;1.44642857142857;14.1176934242249;-0.632825112342831;-34.1634007957026;2.02742857142857;14.6553661391052;-31.7908381371492;126;12;94;12;8.25743579864502;44.5846176147461;3.37353801727295;4.63561964035034;8.00915813446045;5.218;19.1;4.98;15.3;2.3725626585534;-1.43521230750557;-1.32259480448688;-1.29858590450313
"P800052QURO";"QUSP";370;16.3904883;49.26121;"Managed";"moderate";7;1969;78;12;74;0.21603353078979;0.476240883076433;0.310799393972658;2.24142857142857;14.2684541543325;-0.482064382235219;-38.9034212001006;1.87242857142857;14.6553661391052;-31.7908381371492;126;12;94;12;7.9503002166748;43.179443359375;3.2306113243103;4.51493167877197;7.74554300308228;5.218;19.1;4.98;15.3;7.1125830629514;-1.53232164820778;-0.741831495871056;-1.16860761038547
"P800052QURO";"QUSP";370;16.3904883;49.26121;"Managed";"moderate";7;1970;79;12;75;0.183405891566041;0.217504358698361;0.186758131905125;1.73285714285714;13.4769198099772;-1.27359872659048;-28.9357493142033;2.00871428571429;14.6553661391052;-31.7908381371492;126;12;94;12;10.2941255569458;56.1154708862305;4.22952938079834;6.01404666900635;10.2435760498047;5.218;19.1;4.98;15.3;-2.85508882294591;-1.69605359554248;-1.52553638866173;-1.67794091157922
