"Date","Year","Month","Temp","Prec"
"246",1981-06-01,1981,6,16.8677196502686,98.0504302978516
"247",1981-07-01,1981,7,16.8639163970947,106.588920593262
"248",1981-08-01,1981,8,16.878002166748,29.832124710083
"249",1981-09-01,1981,9,14.3167972564697,76.8296508789062
"250",1981-10-01,1981,10,9.00802516937256,74.2240829467773
"251",1981-11-01,1981,11,3.02449750900269,35.3079872131348
"252",1981-12-01,1981,12,-2.54945540428162,81.1646499633789
"253",1982-01-01,1982,1,-5.51877880096436,27.358268737793
"254",1982-02-01,1982,2,-2.0975456237793,2.26525807380676
"255",1982-03-01,1982,3,3.71913743019104,12.3818483352661
"256",1982-04-01,1982,4,5.57637882232666,17.6726264953613
"257",1982-05-01,1982,5,13.4780225753784,64.0894393920898
"258",1982-06-01,1982,6,16.6865520477295,60.730899810791
"259",1982-07-01,1982,7,18.5492095947266,56.7835731506348
"260",1982-08-01,1982,8,18.0939502716064,57.6027374267578
"261",1982-09-01,1982,9,16.7133598327637,31.4308223724365
"262",1982-10-01,1982,10,9.37323093414307,28.8863067626953
"263",1982-11-01,1982,11,4.58046340942383,15.4120588302612
"264",1982-12-01,1982,12,0.830354809761047,49.0616607666016
"265",1983-01-01,1983,1,2.40247225761414,41.7131195068359
"266",1983-02-01,1983,2,-2.75543522834778,49.379997253418
"267",1983-03-01,1983,3,4.34139108657837,24.8912105560303
"268",1983-04-01,1983,4,10.1129856109619,47.341869354248
"269",1983-05-01,1983,5,14.4783315658569,43.4282035827637
"270",1983-06-01,1983,6,16.3409404754639,120.952056884766
"271",1983-07-01,1983,7,20.5373706817627,26.1988258361816
"272",1983-08-01,1983,8,18.4832305908203,23.7908973693848
"273",1983-09-01,1983,9,14.1122207641602,55.5799789428711
"274",1983-10-01,1983,10,8.37932014465332,35.1774406433105
"275",1983-11-01,1983,11,1.1109071969986,16.0809211730957
"276",1983-12-01,1983,12,-0.98873382806778,27.5324230194092
"277",1984-01-01,1984,1,-1.0113970041275,42.1541175842285
"278",1984-02-01,1984,2,-1.29905438423157,65.8295211791992
"279",1984-03-01,1984,3,1.89805614948273,28.927131652832
"280",1984-04-01,1984,4,7.4667067527771,38.8014144897461
"281",1984-05-01,1984,5,12.4026470184326,88.7698135375977
"282",1984-06-01,1984,6,14.4139957427979,29.9474334716797
"283",1984-07-01,1984,7,15.8884553909302,64.5962600708008
"284",1984-08-01,1984,8,17.0639972686768,46.6990051269531
"285",1984-09-01,1984,9,12.8566808700562,75.2998809814453
"286",1984-10-01,1984,10,9.69575691223145,38.3117179870605
"287",1984-11-01,1984,11,4.19702577590942,68.1430892944336
"288",1984-12-01,1984,12,-1.15899181365967,23.4865608215332
"289",1985-01-01,1985,1,-8.30878067016602,36.1489067077637
"290",1985-02-01,1985,2,-6.13097476959229,32.9034385681152
"291",1985-03-01,1985,3,2.64993095397949,39.9611320495605
"292",1985-04-01,1985,4,7.84043979644775,13.9049282073975
"293",1985-05-01,1985,5,14.2024812698364,71.988655090332
"294",1985-06-01,1985,6,13.4716854095459,100.71955871582
"295",1985-07-01,1985,7,17.7082901000977,91.0655975341797
"296",1985-08-01,1985,8,17.0635471343994,146.298522949219
"297",1985-09-01,1985,9,13.0185985565186,18.3303699493408
"298",1985-10-01,1985,10,7.77371406555176,10.8122854232788
"299",1985-11-01,1985,11,0.0879356414079666,94.3506622314453
"300",1985-12-01,1985,12,1.85408103466034,51.9508209228516
"301",1986-01-01,1986,1,-1.182457447052,29.374662399292
"302",1986-02-01,1986,2,-7.42508172988892,26.733943939209
"303",1986-03-01,1986,3,2.06519484519958,31.8281726837158
"304",1986-04-01,1986,4,10.0222005844116,25.3371238708496
"305",1986-05-01,1986,5,15.170690536499,60.4038734436035
"306",1986-06-01,1986,6,15.8251876831055,81.5521850585938
"307",1986-07-01,1986,7,16.7972316741943,51.777271270752
"308",1986-08-01,1986,8,17.3056259155273,125.38459777832
"309",1986-09-01,1986,9,11.9555168151855,26.063591003418
"310",1986-10-01,1986,10,8.38812255859375,29.3755378723145
"311",1986-11-01,1986,11,3.91358280181885,28.004508972168
"312",1986-12-01,1986,12,-1.38360691070557,39.7796249389648
"313",1987-01-01,1987,1,-8.73542499542236,62.6370544433594
"314",1987-02-01,1987,2,-1.40874898433685,32.9715576171875
"315",1987-03-01,1987,3,-2.26452326774597,20.7227783203125
"316",1987-04-01,1987,4,8.08259105682373,20.3775100708008
"317",1987-05-01,1987,5,11.2000513076782,103.517921447754
"318",1987-06-01,1987,6,15.885591506958,115.684577941895
"319",1987-07-01,1987,7,18.4132194519043,55.7176856994629
"320",1987-08-01,1987,8,15.4032793045044,61.5445823669434
"321",1987-09-01,1987,9,15.1362285614014,60.780891418457
"322",1987-10-01,1987,10,9.62271499633789,55.3622589111328
"323",1987-11-01,1987,11,4.19547176361084,41.9649276733398
"324",1987-12-01,1987,12,0.318159759044647,43.8279190063477
"325",1988-01-01,1988,1,1.61428499221802,28.1658611297607
"326",1988-02-01,1988,2,1.23804998397827,69.6525650024414
"327",1988-03-01,1988,3,1.46396768093109,45.7131423950195
"328",1988-04-01,1988,4,7.8543176651001,22.211368560791
"329",1988-05-01,1988,5,14.5587911605835,42.9871711730957
"330",1988-06-01,1988,6,15.5559434890747,69.2592468261719
"331",1988-07-01,1988,7,18.6896114349365,52.1057510375977
"332",1988-08-01,1988,8,18.0209007263184,65.6237640380859
"333",1988-09-01,1988,9,13.5357818603516,93.4817428588867
"334",1988-10-01,1988,10,8.75139141082764,23.5528964996338
"335",1988-11-01,1988,11,-0.610110580921173,31.7272605895996
"336",1988-12-01,1988,12,0.592688918113708,55.4315414428711
"337",1989-01-01,1989,1,-0.857632875442505,10.7726554870605
"338",1989-02-01,1989,2,2.67888045310974,18.6871070861816
"339",1989-03-01,1989,3,5.90758419036865,24.875509262085
"340",1989-04-01,1989,4,9.47253704071045,61.8030700683594
"341",1989-05-01,1989,5,13.322078704834,60.7914085388184
"342",1989-06-01,1989,6,14.6792449951172,50.7054634094238
"343",1989-07-01,1989,7,18.05810546875,35.1865158081055
"344",1989-08-01,1989,8,17.8498916625977,70.5978546142578
"345",1989-09-01,1989,9,14.1539115905762,44.2930946350098
"346",1989-10-01,1989,10,9.55506420135498,15.8975372314453
"347",1989-11-01,1989,11,1.45487940311432,21.3634872436523
"348",1989-12-01,1989,12,0.0926406309008598,25.0055885314941
"349",1990-01-01,1990,1,-0.660779058933258,1.80426776409149
"350",1990-02-01,1990,2,3.65231156349182,67.0492935180664
"351",1990-03-01,1990,3,6.51767444610596,11.1491460800171
"352",1990-04-01,1990,4,7.24047231674194,84.4470748901367
"353",1990-05-01,1990,5,13.8615350723267,66.6858444213867
"354",1990-06-01,1990,6,16.0668525695801,95.5020217895508
"355",1990-07-01,1990,7,17.023962020874,61.4417686462402
"356",1990-08-01,1990,8,18.6908054351807,15.4678516387939
"357",1990-09-01,1990,9,11.4331493377686,82.9391479492188
"358",1990-10-01,1990,10,9.35711860656738,37.9028739929199
"359",1990-11-01,1990,11,4.23354578018188,52.0618743896484
"360",1990-12-01,1990,12,-0.961333155632019,46.8864936828613
"361",1991-01-01,1991,1,-0.51648211479187,5.51120138168335
"362",1991-02-01,1991,2,-4.4603214263916,18.4258556365967
"363",1991-03-01,1991,3,5.41414070129395,24.0979118347168
"364",1991-04-01,1991,4,6.9031400680542,31.3049697875977
"365",1991-05-01,1991,5,9.68190097808838,95.2742919921875
"366",1991-06-01,1991,6,15.5705041885376,58.7686386108398
"367",1991-07-01,1991,7,19.317720413208,70.2411422729492
"368",1991-08-01,1991,8,17.4597682952881,81.2612915039062
"369",1991-09-01,1991,9,14.9679527282715,35.9146347045898
"370",1991-10-01,1991,10,7.34564971923828,13.1646270751953
"371",1991-11-01,1991,11,3.41198539733887,108.140663146973
"372",1991-12-01,1991,12,-2.69627666473389,45.7869148254395
"373",1992-01-01,1992,1,-0.413183778524399,10.2040920257568
"374",1992-02-01,1992,2,1.43607234954834,15.6117267608643
"375",1992-03-01,1992,3,3.61506199836731,82.6037902832031
"376",1992-04-01,1992,4,8.09843254089355,40.1475296020508
"377",1992-05-01,1992,5,13.7856035232544,25.2643566131592
"378",1992-06-01,1992,6,17.4572658538818,93.0114898681641
"379",1992-07-01,1992,7,19.7345676422119,25.4381790161133
"380",1992-08-01,1992,8,22.6532821655273,18.5704402923584
"381",1992-09-01,1992,9,14.0032844543457,49.7169189453125
"382",1992-10-01,1992,10,6.95585250854492,68.0250473022461
"383",1992-11-01,1992,11,3.51897597312927,33.7109680175781
"384",1992-12-01,1992,12,-1.42724323272705,48.4044647216797
"385",1993-01-01,1993,1,-0.54777717590332,10.0567493438721
"386",1993-02-01,1993,2,-2.44793725013733,28.4046249389648
"387",1993-03-01,1993,3,1.44687604904175,43.3657722473145
"388",1993-04-01,1993,4,9.467360496521,4.31964826583862
"389",1993-05-01,1993,5,15.561671257019,33.3890228271484
"390",1993-06-01,1993,6,16.2847023010254,85.9896697998047
"391",1993-07-01,1993,7,17.2046852111816,71.3896560668945
"392",1993-08-01,1993,8,17.5691413879395,69.1965179443359
"393",1993-09-01,1993,9,13.2717514038086,34.0280265808105
"394",1993-10-01,1993,10,8.86891555786133,51.6569290161133
"395",1993-11-01,1993,11,0.0342864543199539,41.9917068481445
"396",1993-12-01,1993,12,1.20363962650299,73.4323501586914
"397",1994-01-01,1994,1,2.02646112442017,29.4616851806641
"398",1994-02-01,1994,2,-0.487673193216324,12.5051155090332
"399",1994-03-01,1994,3,5.93297433853149,27.8221912384033
"400",1994-04-01,1994,4,8.74985504150391,69.1484222412109
"401",1994-05-01,1994,5,13.3965129852295,94.7536773681641
"402",1994-06-01,1994,6,17.1743183135986,43.113353729248
"403",1994-07-01,1994,7,21.0273361206055,36.5582542419434
"404",1994-08-01,1994,8,19.3133983612061,139.509780883789
"405",1994-09-01,1994,9,15.4622316360474,39.5799179077148
"406",1994-10-01,1994,10,7.03657341003418,41.5869789123535
"407",1994-11-01,1994,11,4.56122827529907,12.9539928436279
"408",1994-12-01,1994,12,0.791648864746094,44.1406059265137
"409",1995-01-01,1995,1,-1.59533357620239,35.8386344909668
"410",1995-02-01,1995,2,3.50284004211426,21.6992225646973
"411",1995-03-01,1995,3,2.53287243843079,42.7289543151855
"412",1995-04-01,1995,4,8.84454154968262,52.4319839477539
"413",1995-05-01,1995,5,12.9715147018433,95.4546966552734
"414",1995-06-01,1995,6,15.6559820175171,80.4410552978516
"415",1995-07-01,1995,7,20.697681427002,47.2567672729492
"416",1995-08-01,1995,8,17.7098541259766,95.9907608032227
"417",1995-09-01,1995,9,12.5337944030762,82.6448593139648
"418",1995-10-01,1995,10,10.2684383392334,1.70787739753723
"419",1995-11-01,1995,11,0.855622231960297,38.3163375854492
"420",1995-12-01,1995,12,-2.0877468585968,27.4853668212891
"421",1996-01-01,1996,1,-4.66876411437988,23.3492774963379
"422",1996-02-01,1996,2,-5.02434062957764,43.9956130981445
"423",1996-03-01,1996,3,-0.957123696804047,27.2535762786865
