"Date","Year","Month","Temp","Prec"
"1",1961-01-01,1961,1,-4.73853349685669,21.5452880859375
"2",1961-02-01,1961,2,0.649120986461639,52.252613067627
"3",1961-03-01,1961,3,4.17881774902344,52.3430137634277
"4",1961-04-01,1961,4,9.89446353912354,27.9895858764648
"5",1961-05-01,1961,5,9.85041904449463,70.5337371826172
"6",1961-06-01,1961,6,15.5713291168213,138.951416015625
"7",1961-07-01,1961,7,14.6140909194946,84.7075729370117
"8",1961-08-01,1961,8,15.0125799179077,58.5078544616699
"9",1961-09-01,1961,9,13.9612064361572,37.9476547241211
"10",1961-10-01,1961,10,8.4912748336792,49.5927848815918
"11",1961-11-01,1961,11,2.11048293113708,55.998348236084
"12",1961-12-01,1961,12,-4.05553531646729,41.805980682373
"13",1962-01-01,1962,1,-2.70232820510864,51.9655838012695
"14",1962-02-01,1962,2,-3.29574036598206,66.6230621337891
"15",1962-03-01,1962,3,-2.16412591934204,44.0631103515625
"16",1962-04-01,1962,4,7.67181301116943,27.3745460510254
"17",1962-05-01,1962,5,9.4056568145752,137.519577026367
"18",1962-06-01,1962,6,13.2423696517944,45.8619079589844
"19",1962-07-01,1962,7,14.7533845901489,52.688045501709
"20",1962-08-01,1962,8,16.1243515014648,36.9449501037598
"21",1962-09-01,1962,9,10.8816299438477,37.6211013793945
"22",1962-10-01,1962,10,6.90408563613892,34.6398696899414
"23",1962-11-01,1962,11,1.63893508911133,65.60693359375
"24",1962-12-01,1962,12,-6.17127847671509,38.3660354614258
"25",1963-01-01,1963,1,-9.09083843231201,28.689416885376
"26",1963-02-01,1963,2,-7.41111898422241,19.7936248779297
"27",1963-03-01,1963,3,-0.503959834575653,28.7724208831787
"28",1963-04-01,1963,4,7.36180448532104,22.6482849121094
"29",1963-05-01,1963,5,11.5187616348267,103.992858886719
"30",1963-06-01,1963,6,15.644585609436,104.597068786621
"31",1963-07-01,1963,7,17.8095989227295,18.5233879089355
"32",1963-08-01,1963,8,16.0847682952881,69.8354187011719
"33",1963-09-01,1963,9,13.3046970367432,76.3068923950195
"34",1963-10-01,1963,10,6.50055360794067,20.6860504150391
"35",1963-11-01,1963,11,5.46368169784546,58.6003761291504
"36",1963-12-01,1963,12,-6.62251663208008,6.2531418800354
"37",1964-01-01,1964,1,-6.75710868835449,11.1472768783569
"38",1964-02-01,1964,2,-3.3940863609314,36.600700378418
"39",1964-03-01,1964,3,-1.87832045555115,36.8919563293457
"40",1964-04-01,1964,4,7.84700059890747,34.5486755371094
"41",1964-05-01,1964,5,11.8278532028198,65.0278091430664
"42",1964-06-01,1964,6,17.0049018859863,116.237365722656
"43",1964-07-01,1964,7,17.0328407287598,56.5928916931152
"44",1964-08-01,1964,8,14.4408178329468,149.709838867188
"45",1964-09-01,1964,9,11.8266048431396,19.1914196014404
"46",1964-10-01,1964,10,6.15026426315308,100.853782653809
"47",1964-11-01,1964,11,3.20965719223022,40.5875282287598
"48",1964-12-01,1964,12,-3.0422625541687,34.5558815002441
"49",1965-01-01,1965,1,-2.39265441894531,60.2755966186523
"50",1965-02-01,1965,2,-5.59591674804688,30.5806694030762
"51",1965-03-01,1965,3,-0.415297120809555,47.5780830383301
"52",1965-04-01,1965,4,5.43572187423706,67.3710861206055
"53",1965-05-01,1965,5,9.54878044128418,137.346786499023
"54",1965-06-01,1965,6,14.5913867950439,98.9841156005859
"55",1965-07-01,1965,7,14.9085273742676,117.032501220703
"56",1965-08-01,1965,8,13.820930480957,60.3939628601074
"57",1965-09-01,1965,9,12.4183292388916,52.8050422668457
"58",1965-10-01,1965,10,5.96974229812622,10.7112131118774
"59",1965-11-01,1965,11,-1.24928462505341,36.3747367858887
"60",1965-12-01,1965,12,-1.27634060382843,67.4253997802734
"61",1966-01-01,1966,1,-6.50706052780151,24.6422672271729
"62",1966-02-01,1966,2,3.37243723869324,42.3136405944824
"63",1966-03-01,1966,3,1.38568115234375,33.0338516235352
"64",1966-04-01,1966,4,8.2443151473999,42.9246368408203
"65",1966-05-01,1966,5,11.4780321121216,59.2581176757812
"66",1966-06-01,1966,6,15.2235746383667,109.848838806152
"67",1966-07-01,1966,7,15.2794246673584,127.96524810791
"68",1966-08-01,1966,8,14.7592153549194,105.580741882324
"69",1966-09-01,1966,9,11.5294179916382,35.6883544921875
"70",1966-10-01,1966,10,10.550989151001,30.3644332885742
"71",1966-11-01,1966,11,1.20759391784668,35.9469223022461
"72",1966-12-01,1966,12,-1.41901421546936,82.947135925293
"73",1967-01-01,1967,1,-3.93173551559448,36.5198783874512
"74",1967-02-01,1967,2,-0.756999135017395,33.1976699829102
"75",1967-03-01,1967,3,3.15325951576233,46.5963821411133
"76",1967-04-01,1967,4,6.14849042892456,39.0198516845703
"77",1967-05-01,1967,5,11.8953619003296,73.5152282714844
"78",1967-06-01,1967,6,14.3299264907837,90.3994522094727
"79",1967-07-01,1967,7,17.5803680419922,62.6010780334473
"80",1967-08-01,1967,8,15.4191665649414,43.5628814697266
"81",1967-09-01,1967,9,13.0229072570801,139.020614624023
"82",1967-10-01,1967,10,9.45461082458496,24.8642845153809
"83",1967-11-01,1967,11,1.88907516002655,21.837833404541
"84",1967-12-01,1967,12,-2.42534112930298,86.9766693115234
"85",1968-01-01,1968,1,-5.05744552612305,74.5817260742188
"86",1968-02-01,1968,2,-1.04113352298737,33.3686866760254
"87",1968-03-01,1968,3,2.41214680671692,41.5736312866211
"88",1968-04-01,1968,4,8.27562522888184,29.6851787567139
"89",1968-05-01,1968,5,10.8414936065674,44.8323059082031
"90",1968-06-01,1968,6,15.9066505432129,53.1103820800781
"91",1968-07-01,1968,7,15.4986839294434,63.7894439697266
"92",1968-08-01,1968,8,14.886302947998,104.996200561523
"93",1968-09-01,1968,9,11.6626768112183,32.834098815918
"94",1968-10-01,1968,10,7.41194581985474,48.6747589111328
"95",1968-11-01,1968,11,3.12437582015991,53.6661376953125
"96",1968-12-01,1968,12,-4.72941017150879,14.6494455337524
"97",1969-01-01,1969,1,-4.20083665847778,49.6009483337402
"98",1969-02-01,1969,2,-3.79893350601196,41.1759757995605
"99",1969-03-01,1969,3,-1.4888824224472,37.6963119506836
"100",1969-04-01,1969,4,6.39891767501831,35.6529541015625
"101",1969-05-01,1969,5,14.0294971466064,125.523147583008
"102",1969-06-01,1969,6,14.3274936676025,79.4461364746094
"103",1969-07-01,1969,7,17.4663867950439,48.3425025939941
"104",1969-08-01,1969,8,15.1021823883057,63.1383018493652
"105",1969-09-01,1969,9,12.5276613235474,12.0817918777466
"106",1969-10-01,1969,10,8.54198932647705,15.2514476776123
"107",1969-11-01,1969,11,3.22741389274597,38.8077812194824
"108",1969-12-01,1969,12,-6.20787525177002,27.8389930725098
"109",1970-01-01,1970,1,-4.64724540710449,11.4875564575195
"110",1970-02-01,1970,2,-3.62337636947632,96.9043273925781
"111",1970-03-01,1970,3,-0.0710623785853386,48.7930603027344
"112",1970-04-01,1970,4,5.48729944229126,34.1358070373535
"113",1970-05-01,1970,5,10.5004081726074,29.3295726776123
"114",1970-06-01,1970,6,16.1223125457764,57.208137512207
"115",1970-07-01,1970,7,16.413782119751,106.46053314209
"116",1970-08-01,1970,8,16.1855010986328,96.9844055175781
"117",1970-09-01,1970,9,11.0097312927246,30.2593536376953
"118",1970-10-01,1970,10,6.47783946990967,59.6676139831543
"119",1970-11-01,1970,11,3.92305469512939,70.0122375488281
"120",1970-12-01,1970,12,-1.69443011283875,25.5740737915039
"121",1971-01-01,1971,1,-3.98173928260803,22.2908229827881
"122",1971-02-01,1971,2,-0.638907551765442,34.2184524536133
"123",1971-03-01,1971,3,-0.934793770313263,39.0613975524902
"124",1971-04-01,1971,4,7.4696307182312,53.1701202392578
"125",1971-05-01,1971,5,13.2819948196411,69.674201965332
"126",1971-06-01,1971,6,13.5316362380981,79.6665802001953
"127",1971-07-01,1971,7,17.2478637695312,26.8579273223877
"128",1971-08-01,1971,8,18.1775302886963,44.6468658447266
"129",1971-09-01,1971,9,10.018651008606,46.8628578186035
"130",1971-10-01,1971,10,6.32546854019165,14.9010410308838
"131",1971-11-01,1971,11,1.4587037563324,39.5302848815918
"132",1971-12-01,1971,12,1.4409304857254,40.4299545288086
"133",1972-01-01,1972,1,-4.6842885017395,36.5076370239258
"134",1972-02-01,1972,2,0.450344979763031,28.5664749145508
"135",1972-03-01,1972,3,3.81913447380066,15.0741786956787
"136",1972-04-01,1972,4,6.26579093933105,92.3937683105469
"137",1972-05-01,1972,5,11.5509252548218,140.78971862793
"138",1972-06-01,1972,6,15.3543901443481,78.6330108642578
"139",1972-07-01,1972,7,17.5121326446533,72.2888793945312
"140",1972-08-01,1972,8,15.0164346694946,74.3928756713867
"141",1972-09-01,1972,9,9.56394577026367,49.3921279907227
"142",1972-10-01,1972,10,4.97279262542725,21.7561054229736
"143",1972-11-01,1972,11,2.43264818191528,36.8924026489258
"144",1972-12-01,1972,12,-2.17905688285828,5.23010587692261
"145",1973-01-01,1973,1,-2.8676860332489,22.2317600250244
"146",1973-02-01,1973,2,-0.928321599960327,41.6931686401367
"147",1973-03-01,1973,3,2.44845390319824,15.4570465087891
"148",1973-04-01,1973,4,4.34864950180054,57.0327491760254
"149",1973-05-01,1973,5,12.0670967102051,54.2722930908203
"150",1973-06-01,1973,6,14.8158864974976,52.7371978759766
"151",1973-07-01,1973,7,16.3594264984131,51.2476959228516
"152",1973-08-01,1973,8,16.8250484466553,17.0907382965088
"153",1973-09-01,1973,9,12.809624671936,39.2148971557617
"154",1973-10-01,1973,10,5.2966046333313,40.7833786010742
"155",1973-11-01,1973,11,0.140389069914818,45.7685279846191
"156",1973-12-01,1973,12,-2.20017170906067,41.0062141418457
"157",1974-01-01,1974,1,-0.697476804256439,51.0744247436523
"158",1974-02-01,1974,2,1.90237081050873,17.7581424713135
"159",1974-03-01,1974,3,4.96647024154663,16.9139060974121
"160",1974-04-01,1974,4,6.81046199798584,10.0064535140991
"161",1974-05-01,1974,5,10.4600458145142,75.7061004638672
"162",1974-06-01,1974,6,12.7433547973633,102.335350036621
"163",1974-07-01,1974,7,14.6005554199219,121.343437194824
"164",1974-08-01,1974,8,17.0141696929932,49.1521148681641
"165",1974-09-01,1974,9,11.8583402633667,25.0009346008301
"166",1974-10-01,1974,10,3.45175576210022,85.6305465698242
"167",1974-11-01,1974,11,2.0970995426178,49.890308380127
"168",1974-12-01,1974,12,1.71949553489685,119.937461853027
"169",1975-01-01,1975,1,0.93665075302124,38.5903015136719
"170",1975-02-01,1975,2,-1.81243360042572,10.6462354660034
"171",1975-03-01,1975,3,2.70253491401672,52.0987663269043
"172",1975-04-01,1975,4,5.8050742149353,24.3803539276123
"173",1975-05-01,1975,5,12.4847297668457,92.7169418334961
"174",1975-06-01,1975,6,14.2652225494385,98.8368682861328
