"site_code";"species";"site_category";"lat";"lon";"X";"Y";"pH";"C";"N";"P";"Ca";"K";"Mg";"C.N";"RC1";"RC2";"RC3"
"1";"P800058PCAB";"PCAB";"moderate";49.438;16.041;-636122.570319211;-1129325.5474719;5.444;0.415;0.039;390.653;618.022;121.528;211.554;10.6;-0.228643026869767;-0.346063760717909;-0.82648054587497
"2";"P800052QURO";"QUSP";"moderate";49.26121;16.3904883;-613108.170532861;-1151720.71682333;5.408;0.511;0.048;262.313;1806.253;136.021;353.511;10.6;0.779090890037471;-0.452920624518961;-1.26801306404455
"3";"P810405ABAL";"ABAL";"extreme";48.842847;14.158569;-780775.000467555;-1177477.0338101;5.082;0.714;0.036;480.097;244.823;93.596;99.126;19.8;-0.389670270376032;-0.578508749526017;1.55487516274142
"4";"P800057PISY";"PISY";"moderate";49.523;16.319;-615039.132038028;-1122212.16183803;4.911;0.578;0.042;388.647;468.928;124.354;88.97;13.8;-0.568042986045229;-0.237419000411454;0.00317902082996295
"5";"P800040PISY";"PISY";"moderate";48.949;17.229;-555866.1021484;-1192664.75298035;5.198;0.41;0.027;54.766;257.31;40.058;38.635;15.2;0.219969154653188;-0.694856857335127;1.36384913139067
"6";"P800044PCAB";"PCAB";"moderate";49.103;17.176;-558015.427836088;-1175239.01179702;5.473;0.454;0.042;215.578;1055.438;130.67;257.975;10.8;0.563822249336733;-0.208619414214356;-0.511722972774844
"7";"P800060QUPE";"QUSP";"acid";49.6752183;15.4812108;-673205.152968442;-1098326.35347978;4.73;0.382;0.031;239.812;216.402;105.273;97.412;12.3;-1.03269070185757;-0.00433781057609789;-0.381882184357529
"8";"P800057FASY";"FASY";"moderate";49.523;16.319;-615039.132038028;-1122212.16183803;4.911;0.578;0.042;388.647;468.928;124.354;88.97;13.8;-0.568042986045229;-0.237419000411454;0.00317902082996295
"9";"P800064FASY";"FASY";"moderate";49.8372722;16.4508358;-601724.183790268;-1088524.88517555;5.457;0.68;0.066;216.055;1795.726;128.882;72.514;10.3;0.576210819043774;0.229475718344254;-1.00318662365241
"10";"P800046ABAL";"ABAL";"moderate";49.388;17.976;-497030.238069479;-1149209.30248206;5.416;0.712;0.07;165.673;1915.906;159.408;137.87;10.2;0.698236251915667;2.73689802245231;-1.26344704579227
