"0001";"0002";"0003";"0004";"0005";"0006";"0007"
"1892";NA;NA;NA;NA;NA;NA;0.280201596331466
"1893";NA;NA;NA;NA;NA;NA;1.94267795547193
"1894";NA;NA;NA;NA;NA;NA;1.06039540966609
"1895";NA;NA;NA;0.270989938025779;NA;NA;0.900147243278617
"1896";NA;NA;0.137952877830761;1.27807165839559;NA;NA;0.537809201932447
"1897";NA;NA;0.837013384061417;0.890916253706276;NA;0.972464363738617;0.39696644437015
"1898";NA;NA;0.818628193203695;0.14076824268445;0.735234771227573;0.626152398871119;0.456552754942591
"1899";NA;NA;0.529821260583255;0.247299408927237;0.478052623939953;0.706930273110729;0.505461703186174
"1900";NA;NA;0.229752338760987;0.153836170534922;0.129506783269694;0.549708240170148;0.35321417372217
"1901";NA;NA;0.446637945138245;0.396028012961221;0.185474556695428;0.26075597669452;0.477177934349742
"1902";NA;NA;0.510647121026768;0.441831420694206;0.230754255802384;0.115429959001249;0.618421770191416
"1903";NA;NA;0.247752107124633;0.494737416153133;0.240827845719661;0.147428493783545;0.228161479607705
"1904";NA;NA;0.159317888443508;0.277053225237927;0.294554280462804;0.203283511064005;0.0422304728053351
"1905";NA;NA;0.192295213168653;0.0872763104643592;0.343567650106342;0.278289955053831;0.185474556695428
"1906";NA;NA;0.141820842479356;0.109382430871662;0.239026311969977;0.288663194853548;0.164824468430274
"1907";NA;NA;0.270989938025779;0.175812766325626;0.14076824268445;0.233626002072313;0.157876032194
"1908";NA;NA;0.322953591099962;0.181958816765966;0.218764861743325;0.298782889962471;0.132549426208262
"1909";NA;NA;0.277053225237927;0.347574050946108;0.142847872639571;0.123876053562316;0.144298413044664
"1910";NA;NA;0.136545195403917;0.364181709112723;0.128441517717153;0.15218425164753;0.122229364075556
"1911";NA;NA;0.161695767375501;0.184702150158618;0.294554280462804;0.203283511064005;0.0534919322200911
"1912";NA;NA;0.129112500270381;0.0450458376590241;0.343567650106342;0.251531305529424;0.0856036415517358
"1913";NA;NA;0.11773805790739;0.166451525239486;0.152107653071803;0.217970167542475;0.107135904479678
"1914";NA;NA;0.123712797794378;0.148342021587247;0.0365997430979571;0.137427060042537;0.149848437336678
"1915";NA;NA;0.202704913562742;0.0802759485732204;0.147428493783545;0.11679694789442;0.162004854254542
"1916";NA;NA;0.173837317796347;0.0942573697480972;0.27470744738379;0.0957224050254263;0.182090854556361
"1917";NA;NA;0.0647533916348472;0.116813001036156;0.299696874673356;0.261566682519193;0.149391444981235
"1918";NA;0.165903627051322;0.0832257626197432;0.0706214103547658;0.282772109244292;0.175812766325626;0.0746071686227587
"1919";NA;0.430049249475693;0.159330319482598;0.0534919322200911;0.357310356110596;0.200689871433051;0.211631224947347
"1920";NA;0.508480122157387;0.173931221908644;0.126027583395611;0.396566381222916;0.45066804910809;0.324154787912872
"1921";NA;0.162972485434075;0.159059311449914;0.153836170534922;0.0900916753180483;0.188962207558488;0.246179575624543
"1922";NA;0.0957224050254263;0.329824944102089;0.203365736385492;0.280589713975134;0.200999398702026;0.220915710347103
"1923";NA;0.194986072423398;0.358539467954965;0.30044536607206;0.417555320023361;0.133729830550228;0.305775208594645
"1924";NA;0.164824468430274;0.257605884112544;0.39166712112123;0.219420926100136;0.18785243562742;0.282485641419063
"1925";NA;0.133793247622034;0.461308512806577;0.407431213585187;0.32990079411834;0.159330319482598;0.105576182013338
"1926";NA;0.206187996323963;0.541173671346067;0.177367985782407;0.446637945138245;0.243503710672102;0.306746382227053
"1927";NA;0.419152533129738;0.730511132016306;0.404239418438753;0.336809803230422;0.318118622899828;0.313166490017521
"1928";NA;0.423728462128595;0.863044041756015;0.626332980035041;0.191444810050853;0.405409827125484;0.366593498484373
"1929";NA;0.202706269465609;0.910454272781807;0.35321417372217;0.399483660574767;0.203715606792594;0.397648278624785
"1930";NA;0.271078198247164;0.730659976362769;0.474232391545114;0.439531915814064;0.173144938501874;0.443202268637182
"1931";NA;0.61534468213969;0.636272456933716;1.04100997982222;0.412083202675865;0.347170324070929;0.570403699019262
"1932";NA;0.556579910107662;0.663428222025953;0.660038566008003;0.424158163866437;0.263719149488438;0.160475796660273
"1933";NA;0.347574050946108;0.403819947654171;0.257605884112544;0.377924415116977;0.184634681718407;0.21400910387934
"1934";NA;0.398538474123357;0.302372739625797;0.299612745431075;0.255323560513384;0.167895939863798;0.186801064220977
"1935";NA;0.347674635592693;0.332846336922968;0.384590426337306;0.143583607538139;0.230190325571249;0.246179575624543
"1936";NA;0.292797944783657;0.666521241206304;0.596717884394272;0.451796997078606;0.298782889962471;0.459504677521974
"1937";NA;0.375704871254841;0.668187190279707;0.842425242123619;0.417555320023361;0.175960303355563;0.508480122157387
"1938";NA;0.362613830546603;0.285759532649434;0.982603479304139;0.390676283056339;0.275833956111149;0.418296045947459
"1939";NA;0.417434932580746;0.587336096202188;0.738808600634473;0.388811650210901;0.343384309229738;0.225229188295121
"1940";NA;0.382920564601645;0.458761437130929;0.274498073234678;0.50160876915526;0.369269363436814;0.392350023778789
"1941";NA;0.594372034683972;0.583338559632069;0.480331544262518;0.353107051773829;0.35935622216462;0.543920745819904
"1942";NA;0.524228161479608;0.706930273110729;0.675780320564124;0.188629445197164;0.401974150624421;0.473628096582001
"1943";0.302178192122169;0.495504214249265;1.35365654141899;1.04091146649943;0.599225490862151;0.611146820377781;0.683365930673704
"1944";0.476303961534441;0.603981248726136;0.893632461796844;0.904281641020807;0.439531915814064;0.192852492477697;0.666521241206304
