"0001";"0003";"0004";"0005";"0006";"0007"
"1921";NA;NA;NA;NA;NA;1.32755621619912
"1922";NA;0.338330123105268;NA;NA;NA;1.22362727856405
"1923";NA;1.03769891924092;NA;NA;0.681473917113437;1.5204096105296
"1924";0.542182521025963;1.24144595935851;NA;NA;1.27691584391161;1.40359400302983
"1925";0.694341119873035;0.991915885532907;NA;NA;1.11094579179686;1.32668749690026
"1926";1.16130043086565;1.35840188014101;NA;0.186447316882099;0.889620054837446;1.08672150411281
"1927";1.23362535184541;1.03323950789083;NA;0.432081976027072;0.522881811568993;1.06141876719694
"1928";0.727409764676325;0.592077715434218;NA;0.338330123105268;0.38344080618597;0.431370906959216
"1929";0.691799279493944;0.542081524976598;NA;0.356225002127478;0.487873372478938;0.508524097239951
"1930";0.557383900120148;0.491511257378676;NA;0.349631719166275;0.342031029619182;0.38763516690174
"1931";0.860487030699796;0.810891236423151;NA;0.486038783911124;0.813371026136984;0.699300699300699
"1932";0.977516647081864;0.966862514688602;0.367567567567568;0.532706619663141;0.783078730904818;0.753779866823345
"1933";1.14595654511528;1.03950156551441;0.90799835541921;0.538536955627945;0.926784528289952;0.707612511464626
"1934";0.71613209390615;0.671021410825447;0.620271892359657;0.411634983111409;0.479301007732462;0.468023336962287
"1935";0.614359061640144;0.653079170567044;0.609196380449891;0.516268119025331;0.542081524976598;0.420758517005645
"1936";0.793005276080029;0.929817687927702;0.896881366556966;0.577652405579063;0.608055163767435;0.529514705114141
"1937";0.614987849030402;0.8530476615583;0.575311213609086;0.411645092496156;0.602588900461241;0.505877101621782
"1938";0.695182138660399;1.2891500195848;1.08139443791618;1.20924402663533;1.08405797101449;0.689855072463768
"1939";1.0081912773965;1.61561086688384;1.628134982131;2.13536164964104;2.07587210221702;1.49976280084759
"1940";0.741506853139045;0.88247773776624;0.902213661614047;1.24054378471931;1.16441950702063;1.07983697624431
"1941";0.836354352821037;0.968002723172496;1.25969421042181;1.28034493518282;1.21581142030465;1.26227555101694
"1942";0.691662748785457;0.793005276080029;0.790471712897665;0.805673091991851;0.909549182468787;1.20597607480541
"1943";0.674502802162376;0.870406189555126;0.902643455834945;0.773694390715667;1.0836681049447;1.20269801120865
"1944";0.62060321190756;0.777751664708186;0.878965922444183;0.820368194281238;1.17195456325891;1.24653349001175
"1945";0.763971030076853;0.983143046902179;0.948701729972485;1.15221860273886;1.40583193649388;1.22736329422183
"1946";0.913491332384223;0.93322725623203;0.783798118527203;0.603355386204394;1.00935153393072;1.06010105239651
"1947";0.580801633903498;0.511105437835078;0.480129350693558;0.88023714293819;0.601452358664511;0.531756162596091
"1948";0.58778665830852;0.681528496056;0.60552160058507;0.62325654286162;0.608055163767435;0.62325654286162
"1949";0.838168923275306;0.937360511828597;0.691861330159202;0.629866587313396;0.716659227297525;0.845608292416803
"1950";0.625930278104191;0.695182138660399;0.65789267528398;0.375558166862515;0.671210340775558;0.631257344300823
"1951";0.889212182548468;1.23049432303362;0.926784528289952;0.654385021664189;1.03950156551441;0.970618931655017
"1952";0.778159283142115;0.811992295452642;0.71613209390615;0.608994221589482;0.710493258521062;0.713312676213606
"1953";0.815703628060023;0.828610331035657;0.761495475562364;0.676311235923184;0.769239497347743;0.74858877258673
"1954";0.760068954709293;0.757535391526929;0.747401138797472;0.681528496056;0.714464817426736;0.765136081074022
"1955";0.716659227297525;0.607548479888905;0.674502802162376;0.66706343302088;0.704260278728364;0.679462381590041
"1956";0.450137093615354;0.503407755581669;0.495417156286721;0.538033685859773;0.633920877399138;0.63924794359577
"1957";0.582371358993011;0.679433252158512;0.882950124924887;0.676302223346722;0.754577943641481;0.911129384231
"1958";0.893755408536415;0.81763113083773;0.80353404237501;0.527231108505709;0.978337939312732;1.09393406470703
"1959";0.565313590332738;0.696961960684197;0.707287323064704;0.495617394264318;0.80279692508439;1.03253623805066
"1960";0.757535391526929;0.836075850180222;0.678994932873635;0.514313326019955;0.673927806508907;0.907015619286423
"1961";0.810891236423151;0.860487030699796;0.614987849030402;0.607548479888905;0.793532708426325;0.79849228785399
"1962";0.767097532314924;0.769761065413239;0.498080689385037;0.56466901684293;0.748452800626714;0.67653740697219
"1963";0.82659160631266;0.776495145324014;0.651253992852399;0.626205762358076;0.835984692748031;0.832853663936241
"1964";0.885297155458783;0.721770929291238;0.656924322362728;0.493398096195182;0.772520447757028;0.634368980822377
"1965";0.77956485972825;0.686636598303691;0.495617394264318;0.544662865571724;0.929282614245596;0.601452358664511
"1966";0.719531943791464;0.815807344721308;0.630857232408713;0.836075850180222;0.808206655174215;0.630857232408713
"1967";0.741457124435848;1.04895104895105;1.04399146952338;1.05143083866488;1.08614789465853;0.897683876407281
"1968";0.783078730904818;0.985507246376812;0.913591852722287;0.836349392871132;0.910928319623972;0.777751664708186
"1969";1.09586008412663;1.46845251272969;1.42461810936462;1.14282551630349;1.42148708055283;1.08959802650305
"1970";0.902213661614047;1.17287776009826;0.950143762387293;0.851464143148257;1.18133601317589;0.831728219300449
"1971";0.81828496865515;1.02737355686041;0.94218931722123;0.913794570674836;0.980909426148129;0.665985873542677
"1972";0.787938149715301;1.14770412161103;0.985556077939717;1.01595883612809;0.919683435198245;0.747401138797472
"1973";0.734017755294351;1.0142339929574;0.778653970143332;0.862966820413629;0.858007240985964;0.602588900461241
"1974";0.841676459067763;1.42765374069722;1.04943204073639;0.996161378770074;0.993497845671759;0.647238542890717
"1975";1.44966633985895;1.80034156677947;1.30877004332838;1.15848066036244;1.20231506372751;0.854770865618774
